Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
rekening,bill / account,"noun, de",-,-,-,Mag ik de rekening alsjeblieft? Ik wil graag betalen voor de heerlijke maaltijd en de drankjes die we hebben gehad.,"May I have the bill, please? I would like to pay for the delicious meal and the drinks we had.",
goedkoop,cheap,adjective,-,-,-,Deze groenten zijn bij de lokale markt vaak veel goedkoper dan in de grote supermarkt in het centrum van de stad.,These vegetables are often much cheaper at the local market than in the large supermarket in the city center.,
duur,expensive,adjective,-,-,-,Het huren van een appartement in Amsterdam is tegenwoordig erg duur geworden voor studenten en starters op de woningmarkt.,Renting an apartment in Amsterdam has become very expensive these days for students and starters in the housing market.,
winkel,shop / store,"noun, de",-,-,-,Deze winkel verkoopt prachtige handgemaakte meubels die nergens anders in de stad te vinden zijn voor zo'n goede prijs.,This shop sells beautiful handmade furniture that can be found nowhere else in the city for such a good price.,
supermarkt,supermarket,"noun, de",-,-,-,Ik ga even naar de supermarkt om verse ingrediënten te halen voor het uitgebreide diner van vanavond.,I'm just going to the supermarket to get fresh ingredients for tonight's extensive dinner.,
markt,market,"noun, de",-,-,-,Elke zaterdagochtend is er een gezellige markt op het plein waar je verse vis en lokale kaas kunt kopen.,Every Saturday morning there is a cozy market on the square where you can buy fresh fish and local cheese.,
maat,size,"noun, de",-,-,-,Welke maat broek heb je precies nodig? Ik kan even voor je in het magazijn kijken of we die nog op voorraad hebben.,What size pants do you need exactly? I can check the warehouse for you to see if we still have those in stock.,
passen,to fit / try on,"verb, regular",pas,paste,zal passen,Ik ga deze blauwe jas even passen in de kleedkamer om te zien of de maat wel goed is voor mij.,I'm going to try on this blue jacket in the fitting room to see if the size is right for me.,
aanbieding,offer / sale,"noun, de",-,-,-,Deze koffie is deze week in de aanbieding: twee pakken halen en je hoeft er uiteindelijk maar voor één te betalen.,This coffee is on sale this week: get two packs and you eventually only have to pay for one.,
weer,weather,"noun, het",-,-,-,"Wat een heerlijk weer is het vandaag, laten we naar het strand gaan om te genieten van de warme zon.",What lovely weather it is today; let's go to the beach to enjoy the warm sun.,
zon,sun,"noun, de",-,-,-,"De zon schijnt vandaag fel aan de hemel, dus vergeet niet om je goed in te smeren met zonnebrandcrème.","The sun is shining brightly in the sky today, so don't forget to put on plenty of sunscreen.",
regen,rain,"noun, de",-,-,-,"Ik heb een hekel aan fietsen in de regen, daarom neem ik vandaag liever de tram naar mijn werk.",I hate cycling in the rain; that's why I'd rather take the tram to work today.,
wind,wind,"noun, de",-,-,-,"Er staat vandaag een krachtige wind uit het westen, wat het fietsen langs de kust behoorlijk zwaar maakt.","There is a powerful wind from the west today, which makes cycling along the coast quite heavy.",
sneeuw,snow,"noun, de",-,-,-,De kinderen spelen vrolijk in de witte sneeuw en ze zijn druk bezig met het maken van een grote sneeuwpop.,The children are playing happily in the white snow and they are busy making a large snowman.,
wolk,cloud,"noun, de",-,-,-,"Er drijft een donkere wolk boven de stad, ik denk dat we over een paar minuten een flinke bui kunnen verwachten.",A dark cloud is drifting over the city; I think we can expect a heavy shower in a few minutes.,
temperatuur,temperature,"noun, de",-,-,-,"De temperatuur gaat dit weekend flink stijgen, dus het wordt waarschijnlijk de warmste dag van de hele maand.","The temperature is going to rise significantly this weekend, so it will probably be the warmest day of the entire month.",
graad,degree,"noun, de",-,-,-,"Het is vandaag buiten slechts vijf graden, dus je moet echt een warme winterjas en een dikke sjaal aantrekken.","It is only five degrees outside today, so you really must put on a warm winter coat and a thick scarf.",
storm,storm,"noun, de",-,-,-,Er is voor vannacht een zware storm voorspeld met windstoten tot wel honderd kilometer per uur langs de hele kust.,A heavy storm has been predicted for tonight with wind gusts of up to a hundred kilometers per hour along the entire coast.,
paraplu,umbrella,"noun, de",-,-,-,"Ik heb mijn paraplu in de trein laten liggen, dus nu moet ik hopen dat het droog blijft totdat ik thuis ben.","I left my umbrella on the train, so now I have to hope it stays dry until I am home.",
seizoen,season,"noun, het",-,-,-,De herfst is mijn favoriete seizoen omdat de bladeren aan de bomen dan zulke prachtige warme kleuren krijgen.,Autumn is my favorite season because the leaves on the trees get such beautiful warm colors then.,
lente,spring,"noun, de",-,-,-,In de lente komen alle lammetjes weer in de wei en beginnen de eerste bloemen eindelijk weer uit de grond te komen.,"In spring, all the lambs go back into the meadow and the first flowers finally start coming out of the ground again.",
zomer,summer,"noun, de",-,-,-,"De zomer in Nederland kan soms erg wisselvallig zijn, met de ene dag veel zon en de andere dag onweer.","The summer in the Netherlands can sometimes be very changeable, with a lot of sun one day and thunderstorms the next.",
herfst,autumn / fall,"noun, de",-,-,-,Tijdens de herfst waait het vaak erg hard en vallen de bladeren van de bomen in het bos en in de stad.,"During autumn, it often blows very hard and the leaves fall from the trees in the forest and in the city.",
winter,winter,"noun, de",-,-,-,In de winter hopen veel Nederlanders dat het hard genoeg gaat vriezen zodat er eindelijk weer op natuurijs geschaatst kan worden.,"In winter, many Dutch people hope that it will freeze hard enough so that they can finally skate on natural ice again.",
boom,tree,"noun, de",-,-,-,Er staat een hele oude eikenboom in onze achtertuin die in de zomer voor heerlijk veel schaduw op het terras zorgt.,There is a very old oak tree in our backyard that provides a wonderful amount of shade on the terrace in the summer.,
bloem,flower,"noun, de",-,-,-,Ik heb een prachtige bos bloemen gekocht voor mijn moeder om haar te feliciteren met haar nieuwe baan.,I bought a beautiful bunch of flowers for my mother to congratulate her on her new job.,
plant,plant,"noun, de",-,-,-,Vergeet niet om de planten in de woonkamer water te geven voordat we voor twee weken op vakantie gaan.,Don't forget to water the plants in the living room before we go on holiday for two weeks.,
natuur,nature,"noun, de",-,-,-,Ik vind het heerlijk om in het weekend in de natuur te wandelen om even helemaal te ontsnappen aan de drukte.,I love walking in nature on the weekend to completely escape the busyness for a while.,
milieu,environment,"noun, het",-,-,-,We moeten beter voor het milieu zorgen door minder plastic te gebruiken en ons afval voortaan beter te gaan scheiden.,We must take better care of the environment by using less plastic and starting to separate our waste better from now on.,
dier,animal,"noun, het",-,-,-,In deze dierentuin kun je veel verschillende soorten wilde dieren zien die oorspronkelijk uit Afrika en Azië komen.,"In this zoo, you can see many different types of wild animals that originally come from Africa and Asia.",
hond,dog,"noun, de",-,-,-,"Onze hond moet drie keer per dag uitgelaten worden, ongeacht of het buiten hard regent of dat de zon schijnt.","Our dog needs to be walked three times a day, regardless of whether it is raining hard outside or if the sun is shining.",
kat,cat,"noun, de",-,-,-,De kat ligt de hele middag al heerlijk te slapen in het warme zonnetje dat door het raam naar binnen schijnt.,The cat has been sleeping wonderfully all afternoon in the warm sunshine shining in through the window.,
vogel,bird,"noun, de",-,-,-,Ik word elke ochtend vroeg wakker door het vrolijke gefluit van de vogels in de grote boom voor mijn slaapkamerraam.,I wake up early every morning to the cheerful chirping of the birds in the large tree in front of my bedroom window.,
paard,horse,"noun, het",-,-,-,Mijn zus houdt enorm van paarden en ze gaat daarom elke zaterdagmiddag naar de manege om een uur te rijden.,"My sister loves horses enormously, and therefore she goes to the riding school every Saturday afternoon to ride for an hour.",
vriend,friend,"noun, de",-,-,-,"Mijn beste vriend helpt mij altijd als ik een probleem heb, ik kan echt alles met hem bespreken.",My best friend always helps me when I have a problem; I can really discuss everything with him.,
vriendin,girlfriend / friend,"noun, de",-,-,-,Ik ga vanavond gezellig uit eten met een goede vriendin die ik al sinds de basisschool ken.,I'm going out for a nice dinner tonight with a good female friend whom I've known since primary school.,
buurman,neighbor (male),"noun, de",-,-,-,Onze vriendelijke buurman helpt ons altijd met het onderhouden van de tuin wanneer wij daar zelf geen tijd voor hebben.,Our friendly neighbor always helps us maintain the garden when we don't have time for it ourselves.,
buurvrouw,neighbor (female),"noun, de",-,-,-,De buurvrouw van drie huizen verderop bakt de allerlekkerste appeltaarten van de hele straat voor speciale gelegenheden.,The neighbor from three houses away bakes the very best apple pies in the entire street for special occasions.,
gast,guest,"noun, de",-,-,-,"We verwachten vanavond zes gasten voor het diner, dus ik moet nog wat extra stoelen uit de schuur halen.","We are expecting six guests for dinner tonight, so I need to get some extra chairs from the shed.",
feest,party,"noun, het",-,-,-,Het feest van gisteravond was echt ontzettend gezellig en het duurde tot diep in de nacht voordat iedereen naar huis ging.,Last night's party was truly incredibly cozy and it lasted until late into the night before everyone went home.,
cadeau,gift / present,"noun, het",-,-,-,"Ik heb een heel leuk cadeau voor je verjaardag gekocht, maar ik ga nog niet verklappen wat het precies is.","I bought a very nice gift for your birthday, but I'm not going to reveal what it is exactly yet.",
verjaardag,birthday,"noun, de",-,-,-,Gefeliciteerd met je verjaardag! Ik wens je een hele fijne dag toe met veel taart en gezelligheid met je familie.,Happy birthday! I wish you a very nice day with lots of cake and coziness with your family.,
kennismaken,to get to know,"verb, separable",maak kennis,maakte kennis,zal kennismaken,Ik wil graag even kennismaken met de nieuwe buren die gisteren in het huis naast ons zijn komen wonen.,I would like to get to know the new neighbors who moved into the house next to us yesterday.,
ontmoeten,to meet,"verb, regular",ontmoet,ontmoette,zal ontmoeten,We gaan elkaar morgenmiddag ontmoeten op het terras bij het centraal station om de plannen verder te bespreken.,We are going to meet tomorrow afternoon on the terrace at the central station to discuss the plans further.,
gezellig,cozy / pleasant,adjective,-,-,-,"Het was een erg gezellige avond met mijn vrienden, we hebben veel gelachen en lekker gegeten in het nieuwe restaurant.",It was a very pleasant evening with my friends; we laughed a lot and had a good meal in the new restaurant.,
leuk,fun / nice,adjective,-,-,-,"Ik vind het erg leuk dat je bent gekomen, het is alweer een hele tijd geleden dat we elkaar voor het laatst zagen.",I think it's very nice that you came; it's been a long time since we last saw each other.,
saai,boring,adjective,-,-,-,"De film die we gisteravond op televisie keken was helaas nogal saai, ik ben zelfs halverwege in slaap gevallen.",The movie we watched on television last night was unfortunately quite boring; I even fell asleep halfway through.,
interessant,interesting,adjective,-,-,-,Het museum heeft een zeer interessante tentoonstelling over de geschiedenis van de scheepvaart in de zeventiende eeuw.,The museum has a very interesting exhibition about the history of shipping in the seventeenth century.,
snel,fast / quick,adjective,-,-,-,De trein is meestal veel sneller dan de auto als je tijdens de spits naar het centrum van de stad moet reizen.,The train is usually much faster than the car if you have to travel to the city center during rush hour.,
langzaam,slow,adjective,-,-,-,Je moet hier heel langzaam rijden omdat er veel kinderen op straat spelen en het een onoverzichtelijke bocht is.,You must drive very slowly here because many children are playing on the street and it is an obscured turn.,
vroeg,early,adjective / adv,-,-,-,Ik moet morgenochtend erg vroeg opstaan omdat mijn vlucht naar Londen al om zeven uur vertrekt vanaf Schiphol.,I have to get up very early tomorrow morning because my flight to London departs at seven o'clock from Schiphol.,
laat,late,adjective / adv,-,-,-,"Het is al erg laat geworden, we moeten nu echt naar huis gaan anders missen we de laatste bus van vanavond.","It has already become very late; we really must go home now, otherwise we will miss the last bus of tonight.",
hard,hard / fast / loud,adjective / adv,-,-,-,"Praat alsjeblieft niet zo hard in de bibliotheek, want andere mensen proberen zich hier te concentreren op hun studie.","Please don't speak so loudly in the library, because other people are trying to concentrate on their studies here.",
zacht,soft / quiet,adjective,-,-,-,"Dit kussen is heerlijk zacht, ik denk dat ik vannacht eindelijk weer eens echt goed zal kunnen slapen.",This pillow is wonderfully soft; I think I will finally be able to sleep really well again tonight.,
donker,dark,adjective,-,-,-,"Het wordt in de winter al erg vroeg donker buiten, waardoor ik me vaak een beetje slaperig en moe voel.","It gets dark outside very early in the winter, which often makes me feel a bit sleepy and tired.",
zwaar,heavy,adjective,-,-,-,"Deze doos met boeken is veel te zwaar om alleen te tillen, kun je me misschien even helpen om hem naar boven te dragen?",This box of books is much too heavy to lift alone; could you perhaps help me carry it upstairs?,
vol,full,adjective,-,-,-,"De parkeerplaats bij het winkelcentrum is helemaal vol, we moeten een andere plek zoeken om de auto neer te zetten.",The parking lot at the shopping center is completely full; we have to find another place to put the car.,
leeg,empty,adjective,-,-,-,"De koelkast is bijna leeg, dus ik moet vanmiddag echt even naar de winkel om boodschappen te doen voor het weekend.","The fridge is almost empty, so I really need to go to the store this afternoon to do groceries for the weekend.",
hoog,high,adjective,-,-,-,"De prijzen van de huizen in deze buurt zijn erg hoog, waardoor het voor jonge mensen lastig is om iets te kopen.","The house prices in this neighborhood are very high, making it difficult for young people to buy something.",
laag,low,adjective,-,-,-,"De temperatuur is vannacht erg laag geweest, waardoor er nu een dun laagje ijs op de autoruiten ligt.","The temperature was very low last night, so there is now a thin layer of ice on the car windows.",
lang,long / tall,adjective,-,-,-,"Het was een erg lange dag op kantoor met veel vergaderingen, dus ik ben blij dat ik nu eindelijk thuis ben.","It was a very long day at the office with many meetings, so I'm glad I'm finally home now.",
kort,short,adjective,-,-,-,"We hebben maar een korte pauze van tien minuten, dus laten we even snel een kopje koffie gaan halen in de kantine.","We only have a short ten-minute break, so let's quickly get a cup of coffee in the canteen.",
breed,wide,adjective,-,-,-,De nieuwe weg is erg breed en heeft drie rijstroken in elke richting om de doorstroming van het verkeer te verbeteren.,The new road is very wide and has three lanes in each direction to improve the flow of traffic.,
smal,narrow,adjective,-,-,-,"De straatjes in het oude centrum van de stad zijn erg smal, waardoor je er bijna niet met de auto doorheen kunt rijden.","The streets in the old city center are very narrow, so you can hardly drive through them by car.",
open,open,adjective,-,-,-,"De winkel is vandaag tot negen uur 's avonds open, dus we hebben nog genoeg tijd om even rustig rond te kijken.","The shop is open until nine o'clock tonight, so we still have plenty of time to look around quietly.",
dicht,closed / thick,adjective,-,-,-,"De deur zit op slot en de ramen zijn ook allemaal dicht, er is blijkbaar niemand thuis op dit moment.","The door is locked and the windows are all closed; apparently, no one is home at the moment.",
schoon,clean,adjective,-,-,-,Ik heb de hele middag het huis gepoetst en alles is nu weer heerlijk schoon en fris voor het bezoek van morgen.,I cleaned the house all afternoon and everything is wonderfully clean and fresh again for tomorrow's visit.,
vuil,dirty,adjective,-,-,-,"Je schoenen zijn erg vuil door de modder in het bos, laat ze alsjeblieft buiten staan voordat je naar binnen gaat.",Your shoes are very dirty from the mud in the forest; please leave them outside before you go inside.,
nat,wet,adjective,-,-,-,"Pas op voor de natte vloer in de gang, ik heb hem net gedweild omdat de hond met vieze poten naar binnen kwam.",Watch out for the wet floor in the hallway; I just mopped it because the dog came inside with dirty paws.,
droog,dry,adjective,-,-,-,"Het is eindelijk weer droog buiten, laten we snel een wandeling gaan maken voordat het straks weer begint te regenen.",It is finally dry outside again; let's quickly go for a walk before it starts raining again later.,
geluid,sound,"noun, het",-,-,-,"Ik hoorde gisteravond een vreemd geluid in de tuin, maar toen ik ging kijken was er helemaal niets te zien.","I heard a strange sound in the garden last night, but when I went to look, there was nothing to be seen at all.",
stilte,silence,"noun, de",-,-,-,In de bibliotheek moet je de stilte respecteren zodat iedereen geconcentreerd kan werken aan zijn eigen opdrachten.,"In the library, you must respect the silence so that everyone can work with concentration on their own assignments.",
geur,smell / scent,"noun, de",-,-,-,"De geur van versgebakken brood in de ochtend vind ik echt heerlijk, het doet me altijd denken aan mijn vakantie.",I find the smell of freshly baked bread in the morning truly wonderful; it always reminds me of my holiday.,
smaak,taste,"noun, de",-,-,-,"De smaak van deze exotische vrucht is erg bijzonder, ik heb nog nooit zoiets geproefd in mijn hele leven.",The taste of this exotic fruit is very special; I have never tasted anything like it in my whole life.,
kijken naar,to look at,"verb, regular",kijk naar,keek naar,zal kijken naar,We kijken elke avond samen naar het journaal op de televisie om op de hoogte te blijven van het laatste wereldnieuws.,We watch the news together on television every evening to stay informed about the latest world news.,
luisteren naar,to listen to,"verb, regular",luister naar,luisterde naar,zal luisteren naar,Ik luister graag naar klassieke muziek wanneer ik aan het studeren ben voor een moeilijk examen aan de universiteit.,I like to listen to classical music when I am studying for a difficult exam at the university.,
denken aan,to think of,"verb, irregular",denk aan,dacht aan,zal denken aan,Ik moet er vaak aan denken hoe anders mijn leven was voordat ik besloot om naar dit prachtige land te verhuizen.,I often have to think about how different my life was before I decided to move to this beautiful country.,
wachten op,to wait for,"verb, regular",wacht op,wachtte op,zal wachten op,"Wij staan al een hele tijd te wachten op de bus, maar door de drukte in het verkeer heeft hij flinke vertraging opgelopen.","We have been waiting for the bus for a long time, but due to the heavy traffic, it has incurred a significant delay.",
houden van,to love / like,"verb, irregular",hou van,hield van,zal houden van,Ik hou ontzettend veel van mijn familie en ik probeer ze daarom zo vaak mogelijk op te zoeken in het weekend.,I love my family very much and therefore I try to visit them as often as possible on the weekend.,
hopen op,to hope for,"verb, regular",hoop op,hoopte op,zal hopen op,Wij hopen op een goede uitslag van het medische onderzoek dat vorige week in het ziekenhuis is uitgevoerd.,We hope for a good result from the medical examination that was performed at the hospital last week.,
stoppen met,to stop (with),"verb, regular",stop met,stopte met,zal stoppen met,Hij is onlangs gestopt met roken omdat hij meer aandacht wil besteden aan een gezonde en fitte levensstijl.,He recently stopped smoking because he wants to pay more attention to a healthy and fit lifestyle.,
beginnen met,to start (with),"verb, irregular",begin met,begon met,zal beginnen met,Zullen we morgenochtend direct beginnen met het schilderen van de muren in de nieuwe kinderkamer?,Shall we start painting the walls in the new nursery directly tomorrow morning?,
helpen met,to help with,"verb, regular",help met,hielp met,zal helpen met,Kan ik je misschien even helpen met het dragen van die zware tassen vol met boodschappen naar de keuken?,Can I perhaps help you for a moment with carrying those heavy bags full of groceries to the kitchen?,
