Dutch Word,English Translation,"Grammar Note (POS, gender, separable verb, etc.)",Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
tevreden,satisfied,adjective,-,-,-,"Ik ben erg tevreden met mijn vooruitgang van de laatste tijd, ook al maak ik tijdens het praten nog steeds fouten.","I am very satisfied with my progress lately, even though I still make mistakes while speaking.",
moeilijk,difficult,adjective,-,-,-,"In het begin vond ik luisteren naar de radio erg moeilijk, vooral wanneer mensen heel snel en onduidelijk praten.","In the beginning, I found listening to the radio very difficult, especially when people speak very fast and unclearly.",
daardoor,therefore,adverb,-,-,-,"Het regende de hele middag heel hard, daardoor bleven we gezellig thuis om een film te kijken in plaats van te wandelen.","It rained very hard all afternoon, therefore we stayed comfortably at home to watch a movie instead of walking.",
bijvoorbeeld,for example,adverb,-,-,-,"Sommige Nederlandse woorden zijn erg lastig, bijvoorbeeld omdat ze meerdere betekenissen hebben afhankelijk van de context.","Some Dutch words are very tricky, for example because they have multiple meanings depending on the context.",
meestal,usually,adverb,-,-,-,Meestal studeer ik mijn Nederlandse woordjes in de avond na mijn werk wanneer het eindelijk rustig is in huis.,I usually study my Dutch words in the evening after work when it is finally quiet in the house.,
uiteindelijk,eventually,adverb,-,-,-,Uiteindelijk heb ik het moeilijke examen gehaald door elke dag urenlang te oefenen en nooit op te geven.,"Eventually, I passed the difficult exam by practicing for hours every day and never giving up.",
vooral,especially,adverb,-,-,-,"Ik vind schrijven in een vreemde taal erg lastig, vooral als ik weinig tijd heb om over de juiste grammatica na te denken.","I find writing in a foreign language very difficult, especially when I have little time to think about the correct grammar.",
adres,address,"noun, het",-,-,-,Ik heb je huidige adres zo snel mogelijk nodig zodat ik de belangrijke brief vandaag nog naar je kan sturen.,I need your current address as soon as possible so I can send the important letter to you today.,
bericht,message,"noun, het",-,-,-,"Ik heb je korte bericht op mijn telefoon gelezen, maar door de drukte op werk kon ik helaas nog niet antwoorden.","I read your short message on my phone, but due to the busyness at work, I unfortunately couldn't reply yet.",
informatie,information,"noun, de",-,-,-,Op de officiële website staat alle informatie die je nodig hebt om je goed voor te bereiden op het inburgeringsexamen.,The official website contains all the information you need to prepare well for the integration exam.,
keuze,choice,"noun, de",-,-,-,"Je moet uiteindelijk zelf een keuze maken over je carrière, want niemand anders kan die beslissing voor je nemen.","You eventually have to make a choice about your career yourself, because no one else can make that decision for you.",
ontwikkeling,development,"noun, de",-,-,-,"De ontwikkeling van mijn Nederlandse taalvaardigheid gaat misschien langzaam, maar ik merk dat ik elke week vooruitga.","The development of my Dutch language skills may be slow, but I notice that I am progressing every week.",
resultaat,result,"noun, het",-,-,-,Het officiële resultaat van het examen krijg je meestal binnen twee weken via een brief of per e-mail thuisgestuurd.,You usually receive the official exam result sent to your home via letter or email within two weeks.,
toekomst,future,"noun, de",-,-,-,In de nabije toekomst wil ik graag in Nederland blijven wonen en een goede baan vinden in mijn eigen vakgebied.,"In the near future, I would like to continue living in the Netherlands and find a good job in my own field.",
verandering,change,"noun, de",-,-,-,Deze grote verandering in het beleid zorgt ervoor dat het hele systeem vanaf volgende maand veel beter en sneller werkt.,This major change in policy ensures that the entire system works much better and faster starting next month.,
probleem,problem,"noun, het",-,-,-,"Als er een onverwacht probleem is met de levering, kun je altijd direct contact opnemen met onze klantenservice.","If there is an unexpected problem with the delivery, you can always contact our customer service directly.",
beslissen,to decide,"verb, regular",beslis,besliste,zal beslissen,We moeten vandaag echt beslissen of we het nieuwe contract gaan tekenen of dat we nog even willen wachten.,We really have to decide today whether we are going to sign the new contract or if we want to wait a bit longer.,
vergelijken,to compare,"verb, regular",vergelijk,vergeleek,zal vergelijken,Ik heb verschillende opties en prijzen uitgebreid vergeleken voordat ik uiteindelijk een definitieve keuze maakte.,I compared different options and prices extensively before I eventually made a final choice.,
bespreken,to discuss,"verb, regular",bespreek,besprak,zal bespreken,We zullen dit specifieke probleem morgenochtend tijdens de wekelijkse vergadering met het hele team bespreken.,We will discuss this specific problem during the weekly meeting with the whole team tomorrow morning.,
controleren,to check,"verb, regular",controleer,controleerde,zal controleren,Ik ga eerst zorgvuldig controleren of alle benodigde documenten compleet zijn voordat ik de aanvraag opstuur.,I will first carefully check if all required documents are complete before I send the application.,
veranderen,to change,"verb, regular",verander,veranderde,zal veranderen,"Als je elke dag meer oefent, zal je niveau van het Nederlands zeker veranderen en in korte tijd verbeteren.","If you practice more every day, your level of Dutch will definitely change and improve in a short time.",
verbeteren,to improve,"verb, regular",verbeter,verbeterde,zal verbeteren,"Door elke dag consequent te oefenen en veel te spreken, kun je je taalniveau aanzienlijk verbeteren.","By practicing consistently every day and speaking a lot, you can improve your language level significantly.",
toesturen,to send,"verb, separable",stuur toe,stuurde toe,zal toesturen,Ik zal je de ontbrekende documenten en de factuur zo snel mogelijk per beveiligde e-mail toesturen.,I will send you the missing documents and the invoice as soon as possible via secure email.,
ontvangen,to receive,"verb, regular",ontvang,ontving,zal ontvangen,Je ontvangt automatisch een bevestigingsbrief zodra je officiële aanvraag door de commissie is goedgekeurd.,You will automatically receive a confirmation letter once your official application has been approved by the committee.,
invullen,to fill in,"verb, separable",vul in,vulde in,zal invullen,Vergeet niet om het formulier volledig en met de juiste gegevens in te vullen voordat je het inlevert.,Don’t forget to fill in the form completely and with the correct details before you submit it.,
druk,busy,adjective,-,-,-,Op mijn werk is het deze week extreem druk vanwege de naderende deadline van het grote project.,"At my job, it is extremely busy this week because of the approaching deadline of the large project.",
rustig,calm/quiet,adjective,-,-,-,"Het is in dit kleine dorpje meestal erg rustig, vooral in de avond wanneer iedereen binnen is.","It is usually very quiet in this small village, especially in the evening when everyone is inside.",
daarom,therefore,adverb,-,-,-,"Het regende vanochtend erg hard, daarom zijn we besloten om lekker thuis te blijven en te gaan lezen.","It was raining very hard this morning, therefore we decided to stay nicely at home and start reading.",
ongeveer,approximately,adverb,-,-,-,"De intensieve taalcursus duurt ongeveer tien weken, maar dat is ook een beetje afhankelijk van je eigen tempo.","The intensive language course lasts approximately ten weeks, but that also depends a bit on your own pace.",
volgens,according to,preposition,-,-,-,Volgens de officiële regels van de school moet je elke dag op tijd aanwezig zijn in de klas.,"According to the official rules of the school, you must be present in class on time every day.",
tijdens,during,preposition,-,-,-,Tijdens het belangrijke examen mag je absoluut geen mobiele telefoon of andere hulpmiddelen gebruiken.,"During the important exam, you are absolutely not allowed to use a mobile phone or other aids.",
zonder,without,preposition,-,-,-,Zonder veel te oefenen en huiswerk te maken is het erg moeilijk om snel vooruitgang te boeken in een taal.,"Without practicing a lot and doing homework, it is very difficult to make progress quickly in a language.",
ondanks,despite,preposition,-,-,-,"Ondanks de grote hoeveelheid stress die ik voelde, heb ik het moeilijke examen toch in één keer gehaald.","Despite the large amount of stress I felt, I still passed the difficult exam on the first try.",
via,via,preposition,-,-,-,Je kunt je tegenwoordig heel makkelijk inschrijven voor verschillende cursussen via de officiële website van DUO.,"These days, you can easily register for various courses via the official DUO website.",
wanneer,when,question word,-,-,-,Wanneer weet je precies of je bent geslaagd voor het examen dat je vorige week hebt gemaakt?,When do you know exactly if you passed the exam that you took last week?,
waarom,why,question word,-,-,-,Kun je mij misschien uitleggen waarom je specifiek voor deze opleiding aan deze universiteit hebt gekozen?,Can you perhaps explain to me why you specifically chose this program at this university?,
hoeveel,how much/many,question word,-,-,-,Weet je al ongeveer hoeveel tijd je elke week nodig hebt om dit hoge taalniveau eindelijk te halen?,Do you already know approximately how much time you need each week to finally reach this high language level?,
welke,which,question word,-,-,-,Welke officiële documenten moet ik precies meenemen naar mijn afspraak bij de immigratiedienst morgen?,Which official documents exactly do I need to bring to my appointment at the immigration service tomorrow?,
wiens,whose,question word,-,-,-,Weet je toevallig wiens rode tas hier al de hele middag onbeheerd op de tafel in de kantine ligt?,Do you happen to know whose red bag has been lying here on the table in the canteen unattended all afternoon?,
stad,city,"noun, de",-,-,-,"De stad waar ik nu woon is erg druk en levendig, maar ik vind het er erg gezellig.","The city where I live now is very busy and lively, but I find it very cozy.",
dorp,village,"noun, het",-,-,-,Het dorp waar mijn grootouders wonen is erg klein en er is bijna geen verkeer op de weg.,The village where my grandparents live is very small and there is almost no traffic on the road.,
land,country,"noun, het",-,-,-,Nederland is een land met veel water en ik vind de landschappen hier erg uniek en mooi.,The Netherlands is a country with a lot of water and I find the landscapes here very unique and beautiful.,
wereld,world,"noun, de",-,-,-,De wereld verandert tegenwoordig heel erg snel door de komst van nieuwe technologieën.,The world is changing very quickly these days due to the arrival of new technologies.,
bedrijf,company,"noun, het",-,-,-,Het bedrijf waar ik werk groeit elk jaar en we zoeken daarom steeds meer nieuwe collega's.,The company where I work grows every year and we are therefore looking for more and more new colleagues.,
baan,job,"noun, de",-,-,-,Ik ben momenteel op zoek naar een nieuwe baan die beter aansluit bij mijn opleiding en interesses.,I am currently looking for a new job that better matches my education and interests.,
collega,colleague,"noun, de",-,-,-,Mijn vriendelijke collega helpt mij altijd wanneer ik een vraag heb over het computersysteem.,My friendly colleague always helps me when I have a question about the computer system.,
klant,customer,"noun, de",-,-,-,De ongeduldige klant wacht al een kwartier in de winkel op hulp van een medewerker.,The impatient customer has been waiting in the store for fifteen minutes for help from an employee.,
school,school,"noun, de",-,-,-,"De school van mijn kinderen is gelukkig erg dichtbij ons huis, dus ze kunnen lopen.","My children's school is fortunately very close to our house, so they can walk.",
student,student,"noun, de",-,-,-,De ijverige student leert ontzettend veel in een korte tijd door elke dag naar de bibliotheek te gaan.,The diligent student learns a huge amount in a short time by going to the library every day.,
leraar,teacher,"noun, de",-,-,-,De leraar praat heel langzaam en duidelijk zodat alle cursisten de les goed kunnen volgen.,The teacher speaks very slowly and clearly so that all students can follow the lesson well.,
les,lesson,"noun, de",-,-,-,"De les begint elke ochtend precies om negen uur, dus zorg dat je op tijd aanwezig bent.","The lesson starts every morning exactly at nine o'clock, so make sure you are present on time.",
cursus,course,"noun, de",-,-,-,Ik volg momenteel een intensieve cursus Nederlands om mijn spreekvaardigheid verder te ontwikkelen.,I am currently following an intensive Dutch course to further develop my speaking skills.,
examen,exam,"noun, het",-,-,-,Het spannende examen is morgenochtend en ik hoop echt dat ik alle vragen goed kan beantwoorden.,The exciting exam is tomorrow morning and I really hope that I can answer all the questions correctly.,
moment,moment,"noun, het",-,-,-,"Op dit moment heb ik het helaas te druk om je te helpen, maar ik kom over een uurtje bij je terug.","At this moment I am unfortunately too busy to help you, but I will get back to you in an hour.",
reden,reason,"noun, de",-,-,-,Dat is precies de reden waarom ik heb besloten om naar een andere stad te verhuizen.,That is exactly the reason why I decided to move to another city.,
gevolg,result/consequence,"noun, het",-,-,-,"Het feit dat hij niet heeft gestudeerd, heeft grote gevolgen gehad voor zijn uiteindelijke cijfer.",The fact that he didn't study had major consequences for his final grade.,
manier,way,"noun, de",-,-,-,Op deze manier kunnen we het probleem hopelijk sneller oplossen dan wanneer we alleen werken.,In this way we can hopefully solve the problem faster than when we work alone.,
voorbeeld,example,"noun, het",-,-,-,Dit is een heel goed voorbeeld van hoe je een zakelijke brief in het Nederlands moet schrijven.,This is a very good example of how to write a business letter in Dutch.,
verschil,difference,"noun, het",-,-,-,Er is een groot verschil tussen formeel en informeel taalgebruik in de Nederlandse taal.,There is a big difference between formal and informal language use in the Dutch language.,
kans,chance,"noun, de",-,-,-,Ik zie dit nieuwe project als een hele goede kans om meer ervaring op te doen in mijn vakgebied.,I see this new project as a very good chance to gain more experience in my field.,
belangrijk,important,adjective,-,-,-,Het is erg belangrijk om elke dag een beetje te oefenen als je een nieuwe taal wilt leren.,It is very important to practice a little every day if you want to learn a new language.,
nodig,necessary,adjective,-,-,-,Het is echt nodig om een geldig paspoort te hebben als je buiten Europa wilt reizen.,It is really necessary to have a valid passport if you want to travel outside Europe.,
mogelijk,possible,adjective,-,-,-,"Het is heel goed mogelijk dat het morgen gaat regenen, dus vergeet je paraplu niet mee te nemen.","It is very much possible that it will rain tomorrow, so don't forget to bring your umbrella.",
zeker,certain/sure,adjective,-,-,-,"Ik weet het nog niet helemaal zeker, maar ik denk dat ik morgen wel naar het feestje kom.","I don't know for sure yet, but I think I will come to the party tomorrow.",
direct,directly/immediately,adverb,-,-,-,"Kom alsjeblieft direct naar huis na je werk, want we moeten nog veel dingen voorbereiden.","Please come home directly after work, because we still have many things to prepare.",
vroeger,earlier/in the past,adverb,-,-,-,"Vroeger was alles heel anders hier, maar door de jaren heen is de buurt enorm veranderd.","In the past everything was very different here, but over the years the neighborhood has changed tremendously.",
later,later,adverb,-,-,-,"Ik kan nu niet praten omdat ik in een vergadering zit, dus ik bel je over een uurtje later terug.","I can't talk now because I'm in a meeting, so I'll call you back an hour later.",
meteen,immediately,adverb,-,-,-,"Als je een fout ziet in de tekst, moet je dat meteen zeggen zodat ik het kan corrigeren.","If you see a mistake in the text, you must say so immediately so that I can correct it.",
alvast,in advance/already,adverb,-,-,-,"Alvast bedankt voor je hulp bij het verhuizen, ik waardeer het echt enorm dat je komt helpen.","Thanks in advance for your help with moving, I really appreciate it enormously that you are coming to help.",
terwijl,while,conjunction,-,-,-,"Terwijl ik aan het werk ben, luister ik graag naar de radio om mijn luistervaardigheid te oefenen.","While I am at work, I like to listen to the radio to practice my listening skills.",
hoewel,although,conjunction,-,-,-,"Hoewel het buiten hard regent, ga ik toch met de fiets naar mijn afspraak in het centrum.","Although it is raining hard outside, I am still going to my appointment in the center by bike.",
voordat,before,conjunction,-,-,-,Vergeet niet om het licht uit te doen voordat je het huis verlaat om naar je werk te gaan.,Don't forget to turn off the light before you leave the house to go to work.,
nadat,after,conjunction,-,-,-,"Nadat het officiële gedeelte van de les eindigt, drinken we vaak nog gezellig een kopje koffie.","After the official part of the lesson ends, we often enjoy a cup of coffee together.",
binnen,inside/within,preposition/adv,-,-,-,Je krijgt het resultaat van je aanvraag meestal binnen een paar werkdagen via de post.,You usually receive the result of your application within a few business days via the mail.,
buiten,outside,preposition/adv,-,-,-,"Het is heerlijk weer vandaag, dus de kinderen willen de hele middag buiten in de tuin spelen.","The weather is lovely today, so the children want to play outside in the garden all afternoon.",
tussen,between,preposition,-,-,-,De supermarkt bevindt zich precies tussen twee grote huizen aan het einde van de straat.,The supermarket is located exactly between two large houses at the end of the street.,
tegen,against,preposition,-,-,-,Zet de oude fiets maar even tegen de muur aan de achterkant van de garage neer.,Just put the old bicycle against the wall at the back of the garage for a moment.,
langs,along,preposition,-,-,-,Ik loop elke ochtend met de hond langs de weg die naar het grote bos in de buurt leidt.,Every morning I walk the dog along the road that leads to the large forest nearby.,
dankzij,thanks to,preposition,-,-,-,Dankzij jouw goede hulp en duidelijke uitleg heb ik het examen eindelijk kunnen halen.,"Thanks to your good help and clear explanation, I was finally able to pass the exam.",
behalve,except,preposition,-,-,-,"Iedereen in de klas gaat mee naar de excursie, behalve jij omdat je helaas ziek bent.","Everyone in the class is going to the excursion, except you because you are unfortunately sick.",
niemand,nobody,pronoun,-,-,-,"Er kwam helaas niemand opdagen voor de extra les, dus de docent ging weer naar huis.","Unfortunately, nobody showed up for the extra lesson, so the teacher went back home.",
beide,both,pronoun,-,-,-,"Ik heb beide opties goed bekeken, maar ik vind het nog steeds erg lastig om te kiezen.","I have looked closely at both options, but I still find it very difficult to choose.",
elk,each/every,pronoun,-,-,-,Elk jaar gaan we met de hele familie op vakantie naar een zonnig land in Europa.,Every year we go on vacation with the whole family to a sunny country in Europe.,
zichzelf,himself/herself,pronoun,-,-,-,Hij ziet zichzelf in de spiegel en merkt dat hij echt een nieuw kapsel nodig heeft.,He sees himself in the mirror and notices that he really needs a new haircut.,
elkaar,each other,pronoun,-,-,-,We helpen elkaar altijd met het huiswerk wanneer we iets niet helemaal goed begrijpen.,We always help each other with the homework when we don't understand something completely.,
waarschijnlijk,probably,adverb,-,-,-,"Het gaat waarschijnlijk morgen sneeuwen, dus we moeten onze warme winterjassen alvast klaarleggen.","It will probably snow tomorrow, so we have to get our warm winter coats ready already.",
helaas,unfortunately,adverb,-,-,-,Helaas kan ik niet naar je verjaardag komen omdat ik dat weekend al andere plannen heb.,"Unfortunately, I cannot come to your birthday because I already have other plans that weekend.",
gelukkig,fortunately,adverb,-,-,-,"Gelukkig heb ik mijn sleutels weer gevonden, ze lagen onder de stapel kranten op de tafel.","Fortunately, I found my keys again; they were lying under the pile of newspapers on the table.",
