Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
bang,afraid,adjective,-,-,-,Veel kleine kinderen zijn bang voor het donker en willen daarom graag met een nachtlampje aan slapen.,Many small children are afraid of the dark and therefore want to sleep with a nightlight on.,
moe,tired,adjective,-,-,-,Na een lange dag werken ben ik vaak erg moe en wil ik het liefst direct gaan slapen.,"After a long day of work, I am often very tired and I prefer to go to sleep immediately.",
trots,proud,adjective,-,-,-,De ouders waren erg trots op hun zoon toen hij zijn diploma kreeg voor zijn universitaire studie.,The parents were very proud of their son when he received his diploma for his university studies.,
zenuwachtig,nervous,adjective,-,-,-,Ik ben altijd een beetje zenuwachtig voordat ik een presentatie moet geven voor een grote groep mensen.,I am always a bit nervous before I have to give a presentation to a large group of people.,
belangrijk,important,adjective,-,-,-,Het is erg belangrijk om gezond te eten en elke dag genoeg water te drinken voor je lichaam.,It is very important to eat healthily and drink enough water every day for your body.,
moeilijk,difficult,adjective,-,-,-,"De toets was veel moeilijker dan ik had verwacht, ik hoop dat ik toch een voldoende heb gehaald.",The test was much more difficult than I had expected; I hope I still got a passing grade.,
makkelijk,easy,adjective,-,-,-,"Deze opdracht is erg makkelijk, ik denk dat ik er binnen vijf minuten wel mee klaar ben.",This assignment is very easy; I think I will be finished with it within five minutes.,
mooi,beautiful / nice,adjective,-,-,-,Wat een mooi uitzicht heb je vanaf dit balkon over de hele stad en de haven.,What a beautiful view you have from this balcony over the entire city and the harbor.,
lelijk,ugly,adjective,-,-,-,"Ik vind dat gebouw erg lelijk, het past helemaal niet bij de rest van de oude architectuur.",I find that building very ugly; it doesn't fit in at all with the rest of the old architecture.,
groot,big / large,adjective,-,-,-,Wij wonen in een groot huis met een enorme tuin waar de kinderen heerlijk kunnen spelen.,We live in a large house with an enormous garden where the children can play wonderfully.,
klein,small / little,adjective,-,-,-,Het kleine hondje van de buren blaft de hele dag naar iedereen die langs hun huis loopt.,The neighbors' little dog barks all day at everyone who walks past their house.,
nieuw,new,adjective,-,-,-,Ik heb gisteren een nieuwe auto gekocht omdat mijn oude auto helaas niet meer door de keuring kwam.,I bought a new car yesterday because my old car unfortunately no longer passed the inspection.,
oud,old,adjective,-,-,-,Deze oude kast is al generaties lang in onze familie en ik wil hem nooit meer kwijt.,"This old cupboard has been in our family for generations, and I never want to lose it.",
doen,to do,"verb, irregular",doe,deed,zal doen,Wat ga je dit weekend doen? Heb je al leuke plannen gemaakt met je vrienden of familie?,What are you going to do this weekend? Have you already made nice plans with your friends or family?,
maken,to make / fix,"verb, regular",maak,maakte,zal maken,Ik ga vanavond een lekkere pasta maken met veel verse groenten en een zelfgemaakte saus.,I am going to make a tasty pasta tonight with lots of fresh vegetables and a homemade sauce.,
gaan,to go,"verb, irregular",ga,ging,zal gaan,Wij gaan morgen naar de dierentuin om de nieuwe babypanda te bekijken die onlangs is geboren.,We are going to the zoo tomorrow to see the new baby panda that was recently born.,
komen,to come,"verb, irregular",kom,kwam,zal komen,Kom je vanavond ook naar het feestje van Sarah? Het belooft een erg leuke avond te worden.,Are you coming to Sarah's party tonight too? It promises to be a very nice evening.,
zien,to see,"verb, irregular",zie,zag,zal zien,"Ik zie daar in de verte een prachtig kasteel op de heuvel staan, zullen we daarheen wandelen?",I see a beautiful castle standing on the hill in the distance; shall we walk there?,
horen,to hear,"verb, regular",hoor,hoorde,zal horen,Kun je me goed horen of moet ik een beetje harder praten omdat het hier zo lawaaierig is?,"Can you hear me well, or should I speak a bit louder because it is so noisy here?",
zeggen,to say,"verb, irregular",zeg,zei,zal zeggen,Wat wilde je daarstraks tegen me zeggen voordat we werden onderbroken door de telefoon?,What did you want to say to me earlier before we were interrupted by the phone?,
vragen,to ask,"verb, regular",vraag,vroeg,zal vragen,Mag ik je iets vragen over de opdracht die we voor volgende week moeten inleveren?,May I ask you something about the assignment we have to hand in for next week?,
weten,to know,"verb, irregular",weet,wist,zal weten,"Ik weet het antwoord op die vraag helaas niet, misschien kun je het aan de docent vragen.","Unfortunately, I don't know the answer to that question; maybe you can ask the teacher.",
kunnen,can / to be able to,"verb, irregular",kan,kon,zal kunnen,"Ik kan heel goed zwemmen, ik heb vroeger zelfs meegedaan aan verschillende wedstrijden in de regio.",I can swim very well; I even participated in several competitions in the region in the past.,
moeten,must / have to,"verb, irregular",moet,moest,zal moeten,Je moet echt je best doen op school als je later die droombaan wilt krijgen.,You really must do your best at school if you want to get that dream job later.,
mogen,may / to be allowed to,"verb, irregular",mag,mocht,zal mogen,Mag ik hier mijn auto parkeren of is dit gedeelte alleen bedoeld voor bewoners van de straat?,"May I park my car here, or is this section only intended for residents of the street?",
willen,to want,"verb, irregular",wil,wilde,zal willen,"Ik wil graag een kopje koffie met melk en suiker, als dat mogelijk is natuurlijk.","I would like a cup of coffee with milk and sugar, if that is possible of course.",
laten,to let / leave,"verb, irregular",laat,liet,zal laten,"Laat die zware tas maar even staan, ik kom je zo helpen om hem naar boven te tillen.",Just leave that heavy bag for a moment; I'll come help you lift it upstairs in a bit.,
houden,to hold / keep,"verb, irregular",houd,hield,zal houden,Kun je deze doos even voor me vasthouden terwijl ik de sleutel in het slot steek?,Can you hold this box for me for a moment while I put the key in the lock?,
pakken,to grab / take,"verb, regular",pak,pakte,zal pakken,"Vergeet niet om je paraplu te pakken voordat je weggaat, want het ziet er erg regenachtig uit.","Don't forget to grab your umbrella before you leave, because it looks very rainy.",
geven,to give,"verb, irregular",geef,gaf,zal geven,Ik ga dit boek aan mijn broer geven voor zijn verjaardag omdat hij erg van geschiedenis houdt.,I am going to give this book to my brother for his birthday because he likes history very much.,
krijgen,to get / receive,"verb, irregular",krijg,kreeg,zal krijgen,Ik hoop dat ik voor mijn verjaardag een nieuwe gitaar zal krijgen van mijn ouders.,I hope that I will get a new guitar from my parents for my birthday.,
vinden,to find / think,"verb, irregular",vind,vond,zal vinden,Ik vind dit een erg interessant onderwerp en ik zou er graag meer over willen leren.,I find this a very interesting subject and I would like to learn more about it.,
bril,glasses,"noun, de",-,-,-,"Ik kan de kleine letters niet goed lezen zonder mijn bril, ik moet hem vaker opzetten.",I cannot read the small print well without my glasses; I need to wear them more often.,
horloge,watch,"noun, het",-,-,-,"Mijn horloge loopt een paar minuten voor, ik moet de tijd even goed instellen.",My watch is running a few minutes fast; I need to set the time correctly.,
geld,money,"noun, het",-,-,-,"Ik heb niet genoeg geld bij me om deze dure jas te kopen, ik moet eerst sparen.",I don't have enough money with me to buy this expensive coat; I have to save first.,
portemonnee,wallet,"noun, de",-,-,-,Ik ben mijn portemonnee verloren in de trein en nu ben ik al mijn pasjes kwijt.,I lost my wallet on the train and now I have lost all my cards.,
tijdschrift,magazine,"noun, het",-,-,-,Ik lees graag een tijdschrift terwijl ik in de wachtkamer van de tandarts zit te wachten.,I like to read a magazine while I am waiting in the dentist's waiting room.,
kaart,map / card,"noun, de",-,-,-,Zonder een goede kaart van de omgeving zouden we zeker verdwalen in dit grote bos.,"Without a good map of the area, we would certainly get lost in this large forest.",
brief,letter,"noun, de",-,-,-,Ik heb vandaag een belangrijke brief ontvangen van de gemeente over de nieuwe parkeervergunning.,I received an important letter today from the municipality about the new parking permit.,
wereld,world,"noun, de",-,-,-,Er zijn zoveel prachtige plekken op de wereld die ik nog heel graag zou willen bezoeken.,There are so many beautiful places in the world that I would still very much like to visit.,
land,country,"noun, het",-,-,-,"Nederland is een klein land, maar er wonen ontzettend veel mensen op een klein oppervlakte.","The Netherlands is a small country, but an enormous amount of people live in a small area.",
stad,city,"noun, de",-,-,-,De stad waar ik woon is erg oud en heeft veel mooie grachten en historische gebouwen.,The city where I live is very old and has many beautiful canals and historical buildings.,
dorp,village,"noun, het",-,-,-,Ik ben opgegroeid in een klein dorp op het platteland waar iedereen elkaar nog persoonlijk kent.,I grew up in a small village in the countryside where everyone still knows each other personally.,
straat,street,"noun, de",-,-,-,De straat waar wij wonen is erg rustig omdat er bijna geen auto's doorheen mogen rijden.,The street where we live is very quiet because almost no cars are allowed to drive through it.,
weg,road / way,"noun, de",-,-,-,"De weg naar het strand is vandaag erg druk door het mooie weer, er staat een lange file.",The road to the beach is very busy today due to the nice weather; there is a long traffic jam.,
hoek,corner,"noun, de",-,-,-,Er zit een gezellige bakkerij op de hoek van de straat waar ze heerlijke broodjes verkopen.,There is a cozy bakery on the corner of the street where they sell delicious rolls.,
kant,side,"noun, de",-,-,-,Aan de andere kant van de rivier staat een groot bos waar je heerlijk kunt wandelen.,On the other side of the river stands a large forest where you can walk wonderfully.,
plek,place / spot,"noun, de",-,-,-,Dit is een prachtige plek om te picknicken en te genieten van het mooie uitzicht over de vallei.,This is a beautiful spot to have a picnic and enjoy the nice view over the valley.,
tijd,time,"noun, de",-,-,-,Heb je even tijd om me te helpen met deze opdracht? Het duurt maar een paar minuten.,Do you have a moment of time to help me with this assignment? It will only take a few minutes.,
uur,hour,"noun, het",-,-,-,"De reis naar mijn werk duurt ongeveer een uur met de trein, afhankelijk van de overstap.","The journey to my work takes about an hour by train, depending on the transfer.",
minuut,minute,"noun, de",-,-,-,"Wacht even een minuutje op me, ik moet alleen nog even snel mijn schoenen aantrekken.",Wait for me for a minute; I just need to quickly put on my shoes.,
seconde,second,"noun, de",-,-,-,De hardloper verbeterde zijn persoonlijke record met slechts één seconde tijdens de marathon.,The runner improved his personal record by only one second during the marathon.,
vandaag,today,adverb,-,-,-,"Vandaag is het prachtig weer, dus we gaan vanmiddag lekker een stukje wandelen in het park.","Today the weather is beautiful, so we are going for a nice walk in the park this afternoon.",
morgen,tomorrow,adverb,-,-,-,"Morgen moet ik weer vroeg opstaan om naar mijn werk te gaan, dus ik ga vanavond vroeg naar bed.","Tomorrow I have to get up early again to go to work, so I'm going to bed early tonight.",
gisteren,yesterday,adverb,-,-,-,Gisteren was ik jarig en ik heb een heel leuk feestje gevierd met al mijn vrienden.,Yesterday was my birthday and I celebrated a very nice party with all my friends.,
nu,now,adverb,-,-,-,"We moeten nu echt vertrekken, anders komen we veel te laat voor de belangrijke afspraak.","We really must leave now, otherwise we will be much too late for the important appointment.",
straks,later (today),adverb,-,-,-,Ik kom straks even bij je langs om de boeken terug te brengen die ik van je had geleend.,I'll drop by later to bring back the books I borrowed from you.,
altijd,always,adverb,-,-,-,"Hij is altijd erg vriendelijk tegen iedereen, daarom vindt iedereen hem zo'n aardige man.",He is always very friendly to everyone; that's why everyone thinks he's such a nice man.,
nooit,never,adverb,-,-,-,"Ik ben nog nooit in Amerika geweest, maar het lijkt me een geweldige ervaring om daarheen te gaan.","I have never been to America, but it seems like a great experience to go there.",
vaak,often,adverb,-,-,-,Wij gaan vaak naar de bioscoop in het weekend omdat we allebei erg van films houden.,We often go to the cinema on the weekend because we both love movies very much.,
soms,sometimes,adverb,-,-,-,Soms heb ik geen zin om te koken en dan bestellen we gewoon een lekkere pizza.,Sometimes I don't feel like cooking and then we just order a tasty pizza.,
misschien,maybe / perhaps,adverb,-,-,-,Misschien kunnen we volgende week samen gaan lunchen in dat nieuwe restaurant in de stad.,Maybe we can have lunch together next week in that new restaurant in the city.,
graag,gladly / like to,adverb,-,-,-,Ik zou graag meer willen weten over de geschiedenis van dit prachtige oude gebouw.,I would like to know more about the history of this beautiful old building.,
alleen,only / alone,adjective / adv,-,-,-,Ik ben vanavond alleen thuis omdat mijn partner een etentje heeft met collega's van het werk.,I am home alone tonight because my partner has a dinner with colleagues from work.,
samen,together,adverb,-,-,-,Zullen we samen naar de supermarkt gaan om de boodschappen voor het avondeten te halen?,Shall we go to the supermarket together to get the groceries for dinner?,
ook,also / too,adverb,-,-,-,"Ik vind die film ook erg leuk, ik heb hem vorige week al drie keer gezien.",I like that movie too; I have already seen it three times last week.,
nog,still / yet,adverb,-,-,-,Ben je nog steeds aan het werk of heb je inmiddels al weekend en ben je lekker vrij?,"Are you still working, or is it already the weekend for you and are you free?",
al,already,adverb,-,-,-,Heb je het huiswerk voor morgen al af of moet je er vanavond nog aan beginnen?,"Have you already finished the homework for tomorrow, or do you still have to start tonight?",
weer,again,adverb,-,-,-,"Het begint weer te regenen, we kunnen beter even schuilen onder de overkapping van de winkel.",It's starting to rain again; we'd better shelter for a bit under the shop's canopy.,
bijna,almost,adverb,-,-,-,Ik ben bijna klaar met mijn studie en ik kijk er erg naar uit om te gaan werken.,I am almost finished with my studies and I am looking forward to starting work.,
heel,very / whole,adjective / adv,-,-,-,"Het is vandaag heel erg warm buiten, dus drink genoeg water om gehydrateerd te blijven.","It is very warm outside today, so drink enough water to stay hydrated.",
erg,very / bad,adjective / adv,-,-,-,"Dat is erg jammer dat je niet kunt komen naar het feestje, we zullen je zeker missen.",That's very unfortunate that you cannot come to the party; we will certainly miss you.,
te,too,adverb,-,-,-,"De soep is nog veel te heet om te eten, laat hem eerst maar even een beetje afkoelen.",The soup is still far too hot to eat; let it cool down for a bit first.,
genoeg,enough,adverb,-,-,-,Heb je genoeg geld bij je voor het kaartje of moet ik een beetje voor je voorschieten?,"Do you have enough money with you for the ticket, or should I advance a bit for you?",
