Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
ontwikkeling,development,"noun, de",-,-,-,"De ontwikkeling van mijn Nederlandse spreekvaardigheid gaat langzaam, maar ik merk dat ik elke week weer een stap vooruit ga.","The development of my Dutch speaking skills is slow, but I notice that I am making a step forward again every week.",
resultaat,result,"noun, het",-,-,-,Het officiële resultaat van het taalexamen krijg je meestal binnen twee weken via de post of per e-mail thuisgestuurd.,You usually receive the official result of the language exam sent to your home by mail or email within two weeks.,
toekomst,future,"noun, de",-,-,-,In de nabije toekomst wil ik graag in Nederland blijven wonen en een goede baan vinden in mijn huidige vakgebied.,"In the near future, I would like to continue living in the Netherlands and find a good job in my current field.",
verandering,change,"noun, de",-,-,-,Deze ingrijpende verandering in de wet zorgt ervoor dat het systeem vanaf volgend jaar veel beter en efficiënter werkt.,This major change in the law ensures that the system will work much better and more efficiently starting next year.,
probleem,problem,"noun, het",-,-,-,"Als er een onverwacht probleem is met je inschrijving, kun je altijd direct contact opnemen met de medewerkers van de klantenservice.","If there is an unexpected problem with your registration, you can always contact the customer service staff directly.",
beslissen,to decide,"verb, regular",beslis,besliste,zal beslissen,We moeten vandaag definitief beslissen of we het nieuwe arbeidscontract tekenen of dat we toch verder gaan zoeken.,We must definitively decide today whether we sign the new employment contract or if we will continue searching after all.,
vergelijken,to compare,"verb, regular",vergelijk,vergeleek,zal vergelijken,Ik heb verschillende opties en prijzen uitgebreid vergeleken voordat ik uiteindelijk een weloverwogen keuze maakte voor deze auto.,I compared different options and prices extensively before I eventually made a well-considered choice for this car.,
bespreken,to discuss,"verb, regular",bespreek,besprak,zal bespreken,We zullen dit specifieke probleem morgenochtend tijdens de wekelijkse vergadering met het hele team grondig bespreken.,We will thoroughly discuss this specific problem during the weekly meeting with the whole team tomorrow morning.,
controleren,to check,"verb, regular",controleer,controleerde,zal controleren,Ik ga eerst heel zorgvuldig controleren of alle vereiste documenten compleet zijn voordat ik de aanvraag officieel indien.,I am first going to check very carefully if all required documents are complete before I officially submit the application.,
veranderen,to change,"verb, regular",verander,veranderde,zal veranderen,"Als je elke dag meer tijd besteedt aan oefenen, zal je niveau van het Nederlands zeker veranderen en verbeteren.","If you spend more time practicing every day, your level of Dutch will definitely change and improve.",
verbeteren,to improve,"verb, regular",verbeter,verbeterde,zal verbeteren,"Door elke dag consequent te oefenen met spreken, kun je je algemene taalniveau in een paar maanden tijd verbeteren.","By practicing speaking consistently every day, you can improve your general language level in a few months' time.",
toesturen,to send,"verb, separable",stuur toe,stuurde toe,zal toesturen,Ik zal je de ontbrekende documenten en de bevestiging van je afspraak zo snel mogelijk per beveiligde e-mail toesturen.,I will send you the missing documents and the confirmation of your appointment via secure email as soon as possible.,
ontvangen,to receive,"verb, regular",ontvang,ontving,zal ontvangen,Je ontvangt automatisch een bevestigingsbrief van de overheid zodra je officiële aanvraag is goedgekeurd door de commissie.,You will automatically receive a confirmation letter from the government once your official application has been approved by the committee.,
invullen,to fill in,"verb, separable",vul in,vulde in,zal invullen,Vergeet niet om het formulier volledig en met de juiste gegevens in te vullen voordat je het naar de balie brengt.,Don’t forget to fill in the form completely and with the correct data before you take it to the counter.,
druk,busy,adjective,-,-,-,Op mijn werk is het deze week extreem druk vanwege de naderende deadline van het grote internationale project.,It is extremely busy at my job this week because of the approaching deadline of the large international project.,
rustig,calm / quiet,adjective,-,-,-,"Het is in dit kleine dorpje meestal erg rustig, vooral in de avond wanneer de meeste mensen al binnen zijn.","It is usually very quiet in this small village, especially in the evening when most people are already inside.",
daarom,therefore,adverb,-,-,-,"Het regende vanochtend erg hard, daarom zijn we besloten om lekker thuis te blijven en de hele dag te studeren.","It rained very hard this morning; therefore, we decided to stay nicely at home and study all day.",
ongeveer,approximately,adverb,-,-,-,"De intensieve taalcursus duurt ongeveer tien weken, afhankelijk van het tempo van de studenten in de klas.","The intensive language course lasts approximately ten weeks, depending on the pace of the students in the class.",
volgens,according to,preposition,-,-,-,Volgens de officiële regels van de organisatie moet je elke dag op tijd aanwezig zijn bij de verplichte bijeenkomst.,"According to the official rules of the organization, you must be present on time every day at the mandatory meeting.",
tijdens,during,preposition,-,-,-,Tijdens het belangrijke schriftelijke examen mag je absoluut geen gebruik maken van een mobiele telefoon of woordenboek.,"During the important written exam, you are absolutely not allowed to make use of a mobile phone or dictionary.",
zonder,without,preposition,-,-,-,Zonder elke dag veel te oefenen en huiswerk te maken is het erg moeilijk om snel vooruitgang te boeken in deze taal.,"Without practicing a lot every day and doing homework, it is very difficult to make rapid progress in this language.",
ondanks,despite,preposition,-,-,-,"Ondanks de grote hoeveelheid stress die ik voelde voor de toets, heb ik het examen toch met een goed cijfer gehaald.","Despite the large amount of stress I felt before the test, I still passed the exam with a good grade.",
via,via,preposition,-,-,-,Je kunt je tegenwoordig heel eenvoudig inschrijven voor verschillende trainingen via de vernieuwde website van het bedrijf.,"These days, you can easily register for various trainings via the company's renewed website.",
wanneer,when,question word,-,-,-,Wanneer weet je precies of je bent geslaagd voor het moeilijke examen dat je afgelopen woensdag hebt gemaakt?,When do you know exactly if you passed the difficult exam that you took last Wednesday?,
waarom,why,question word,-,-,-,Kun je mij misschien uitgebreid uitleggen waarom je specifiek voor deze uitdagende cursus aan deze universiteit hebt gekozen?,Can you perhaps explain to me in detail why you specifically chose this challenging course at this university?,
hoeveel,how much/many,question word,-,-,-,Weet je al precies hoeveel tijd je elke week nodig hebt om dit hoge taalniveau eindelijk te kunnen bereiken?,Do you already know exactly how much time you need each week to finally be able to reach this high language level?,
welke,which,question word,-,-,-,Welke officiële documenten moet ik morgen precies meenemen naar mijn belangrijke afspraak bij de immigratiedienst?,Which official documents exactly must I bring tomorrow to my important appointment at the immigration office?,
wiens,whose,question word,-,-,-,Weet je toevallig wiens zwarte rugzak hier al de hele middag onbeheerd op de tafel in de kantine ligt?,Do you happen to know whose black backpack has been lying here on the table in the canteen unattended all afternoon?,
stad,city,"noun, de",-,-,-,"De stad waar ik nu woon is erg druk en levendig, maar ik vind de sfeer in de avond erg gezellig.","The city where I live now is very busy and lively, but I find the atmosphere in the evening very cozy.",
dorp,village,"noun, het",-,-,-,Het dorp waar mijn grootouders wonen is erg klein en er rijden bijna geen auto's op de smalle wegen.,The village where my grandparents live is very small and there are almost no cars driving on the narrow roads.,
land,country,"noun, het",-,-,-,Nederland is een land met heel veel water en ik vind de groene landschappen hier erg uniek en prachtig.,The Netherlands is a country with a lot of water and I find the green landscapes here very unique and beautiful.,
wereld,world,"noun, de",-,-,-,De wereld verandert tegenwoordig heel erg snel door de constante komst van nieuwe en slimme technologieën.,The world is changing very quickly these days due to the constant arrival of new and smart technologies.,
bedrijf,company,"noun, het",-,-,-,Het bedrijf waar ik momenteel werk groeit elk jaar en we zoeken daarom steeds vaker naar nieuwe getalenteerde collega's.,The company where I currently work grows every year and we are therefore looking more and more often for new talented colleagues.,
baan,job,"noun, de",-,-,-,Ik ben momenteel hard op zoek naar een nieuwe baan die beter aansluit bij mijn genoten opleiding en persoonlijke interesses.,I am currently searching hard for a new job that better matches my completed education and personal interests.,
collega,colleague,"noun, de",-,-,-,Mijn vriendelijke collega helpt mij altijd geduldig wanneer ik een ingewikkelde vraag heb over het nieuwe computersysteem.,My friendly colleague always helps me patiently whenever I have a complicated question about the new computer system.,
klant,customer,"noun, de",-,-,-,De ongeduldige klant staat al ruim een kwartier in de lange rij te wachten op hulp van een medewerker.,The impatient customer has been waiting in the long line for over fifteen minutes for help from an employee.,
school,school,"noun, de",-,-,-,"De school van mijn jonge kinderen is gelukkig erg dichtbij ons huis, dus we kunnen er elke dag heen lopen.","My young children's school is fortunately very close to our house, so we can walk there every day.",
student,student,"noun, de",-,-,-,De ijverige student leert ontzettend veel in een korte tijd door elke dag urenlang in de bibliotheek te studeren.,The diligent student learns an enormous amount in a short time by studying in the library for hours every day.,
leraar,teacher,"noun, de",-,-,-,De leraar praat tijdens de les heel langzaam en duidelijk zodat alle internationale cursisten de uitleg goed kunnen volgen.,The teacher speaks very slowly and clearly during the lesson so that all international students can follow the explanation well.,
les,lesson,"noun, de",-,-,-,"De les begint elke ochtend precies om negen uur, dus zorg ervoor dat je ruim op tijd aanwezig bent.","The lesson starts every morning exactly at nine o'clock, so make sure you are there well on time.",
cursus,course,"noun, de",-,-,-,Ik volg momenteel een intensieve cursus zakelijk Nederlands om mijn spreekvaardigheid voor mijn werk verder te gaan ontwikkelen.,I am currently following an intensive business Dutch course to further develop my speaking skills for my work.,
examen,exam,"noun, het",-,-,-,Het spannende examen vindt morgenochtend plaats en ik hoop echt dat ik alle vragen zonder problemen kan beantwoorden.,The exciting exam takes place tomorrow morning and I really hope that I can answer all questions without problems.,
moment,moment,"noun, het",-,-,-,"Op dit moment heb ik het helaas iets te druk om je te helpen, maar ik bel je over een uurtje terug.","At this moment I am unfortunately a bit too busy to help you, but I will call you back in an hour.",
reden,reason,"noun, de",-,-,-,Dat is precies de belangrijkste reden waarom ik vorig jaar heb besloten om naar een andere stad te verhuizen.,That is exactly the main reason why I decided to move to another city last year.,
gevolg,result/consequence,"noun, het",-,-,-,"Het feit dat hij niet voor de toets heeft gestudeerd, heeft helaas grote gevolgen gehad voor zijn uiteindelijke cijfer.",The fact that he didn't study for the test unfortunately had major consequences for his final grade.,
manier,way,"noun, de",-,-,-,Op deze specifieke manier kunnen we het probleem hopelijk veel sneller oplossen dan wanneer we alleen zouden werken.,"In this specific way, we can hopefully solve the problem much faster than if we were to work alone.",
voorbeeld,example,"noun, het",-,-,-,Dit is een heel duidelijk en goed voorbeeld van hoe je een formele zakelijke brief in het Nederlands moet schrijven.,This is a very clear and good example of how you should write a formal business letter in Dutch.,
verschil,difference,"noun, het",-,-,-,Er is een heel groot en merkbaar verschil tussen formeel en informeel taalgebruik in de professionele werkomgeving.,There is a very large and noticeable difference between formal and informal language use in the professional work environment.,
kans,chance,"noun, de",-,-,-,Ik zie dit nieuwe project als een hele goede kans om aanzienlijk meer ervaring op te doen in mijn vakgebied.,I see this new project as a very good chance to gain significantly more experience in my field.,
belangrijk,important,adjective,-,-,-,Het is voor je voortgang erg belangrijk om elke dag een klein beetje te oefenen met de nieuwe woorden.,It is very important for your progress to practice a little bit with the new words every day.,
nodig,necessary,adjective,-,-,-,Het is echt noodzakelijk om een geldig paspoort bij je te hebben als je buiten de Europese Unie wilt reizen.,It is really necessary to have a valid passport with you if you want to travel outside the European Union.,
mogelijk,possible,adjective,-,-,-,"Het is heel goed mogelijk dat het morgenmiddag gaat regenen, dus vergeet vooral niet om je paraplu mee te nemen.","It is very much possible that it will rain tomorrow afternoon, so don't forget to bring your umbrella.",
zeker,certain / sure,adjective,-,-,-,"Ik weet het nog niet honderd procent zeker, maar ik denk dat ik morgen wel naar het gezellige feestje kom.","I don't know for a hundred percent sure yet, but I think I will come to the cozy party tomorrow.",
direct,directly / immediately,adverb,-,-,-,"Kom alsjeblieft direct naar de keuken na je werk, want we moeten nog veel dingen voorbereiden voor het diner.","Please come directly to the kitchen after your work, because we still have many things to prepare for the dinner.",
vroeger,earlier / in the past,adverb,-,-,-,"Vroeger was alles hier heel anders, maar door de jaren heen is de hele buurt enorm veranderd en moderner geworden.","In the past, everything was very different here, but over the years the whole neighborhood has changed enormously and become more modern.",
later,later,adverb,-,-,-,"Ik kan nu helaas niet uitgebreid praten omdat ik in een vergadering zit, dus ik bel je een paar uur later terug.","I unfortunately cannot talk in detail now because I am in a meeting, so I will call you back a few hours later.",
meteen,immediately,adverb,-,-,-,"Als je een fout ziet staan in de officiële tekst, moet je dat meteen zeggen zodat ik het direct kan corrigeren.","If you see a mistake in the official text, you must say so immediately so that I can correct it right away.",
alvast,in advance / already,adverb,-,-,-,"Alvast heel erg bedankt voor al je hulp bij mijn verhuizing, ik waardeer het echt enorm dat je wilt helpen.",Thank you very much in advance for all your help with my move; I really appreciate it enormously that you want to help.,
terwijl,while,conjunction,-,-,-,"Terwijl ik geconcentreerd aan het werk ben, luister ik graag naar de radio om mijn passieve luistervaardigheid te oefenen.","While I am working with concentration, I like to listen to the radio to practice my passive listening skills.",
hoewel,although,conjunction,-,-,-,"Hoewel het buiten heel hard regent en waait, ga ik toch met de fiets naar mijn afspraak in het drukke centrum.","Although it is raining and blowing very hard outside, I am still going to my appointment in the busy center by bike.",
voordat,before,conjunction,-,-,-,Vergeet niet om alle lichten in huis uit te doen voordat je de deur uitgaat om naar je werk te gaan.,Don't forget to turn off all the lights in the house before you go out the door to go to work.,
nadat,after,conjunction,-,-,-,"Nadat het officiële gedeelte van de les is geëindigd, drinken we vaak nog gezellig een kopje koffie met de hele groep.","After the official part of the lesson has ended, we often enjoy a cup of coffee together with the whole group.",
binnen,inside / within,preposition/adv,-,-,-,Je ontvangt het officiële resultaat van je aanvraag meestal binnen een paar werkdagen via de gewone post.,You usually receive the official result of your application within a few business days via regular mail.,
buiten,outside,preposition/adv,-,-,-,"Het weer is vandaag werkelijk prachtig, dus de kinderen willen de hele middag buiten in de grote tuin spelen.","The weather today is truly beautiful, so the children want to play outside in the large garden all afternoon.",
tussen,between,preposition,-,-,-,De nieuwe supermarkt bevindt zich precies tussen twee grote kantoorpanden aan het einde van de drukke straat.,The new supermarket is located exactly between two large office buildings at the end of the busy street.,
tegen,against,preposition,-,-,-,Zet de oude fiets maar even voorzichtig tegen de muur aan de achterkant van de garage neer.,Just put the old bicycle carefully against the wall at the back of the garage for a moment.,
langs,along,preposition,-,-,-,Ik loop elke ochtend vroeg met de hond langs de lange weg die naar het bos in de buurt leidt.,Every morning I walk the dog early along the long road that leads to the forest nearby.,
dankzij,thanks to,preposition,-,-,-,Dankzij jouw fantastische hulp en duidelijke uitleg heb ik het moeilijke examen eindelijk met succes kunnen halen.,"Thanks to your fantastic help and clear explanation, I was finally able to pass the difficult exam successfully.",
behalve,except,preposition,-,-,-,"Iedereen in de klas gaat mee naar de leerzame excursie, behalve jij omdat je helaas nog steeds ziek bent.","Everyone in the class is going on the educational excursion, except you because you are unfortunately still sick.",
niemand,nobody,pronoun,-,-,-,"Er kwam gisteren helaas helemaal niemand opdagen voor de extra les, dus de docent is na tien minuten weer gegaan.","Unfortunately, absolutely nobody showed up for the extra lesson yesterday, so the teacher left after ten minutes.",
beide,both,pronoun,-,-,-,"Ik heb beide verschillende opties heel goed bekeken, maar ik vind het nog steeds erg lastig om te beslissen.","I have looked very closely at both different options, but I still find it very difficult to decide.",
elk,each / every,pronoun,-,-,-,Elk jaar gaan we met de hele familie op vakantie naar een zonnig en warm land ergens in Zuid-Europa.,Every year we go on vacation with the whole family to a sunny and warm country somewhere in Southern Europe.,
zichzelf,himself / herself,pronoun,-,-,-,Hij ziet zichzelf in de spiegel en merkt plotseling dat hij echt heel dringend een nieuw kapsel nodig heeft.,He sees himself in the mirror and suddenly notices that he really urgently needs a new haircut.,
elkaar,each other,pronoun,-,-,-,We helpen elkaar altijd heel graag met het moeilijke huiswerk wanneer we een grammaticaal onderdeel niet helemaal begrijpen.,We always love to help each other with the difficult homework whenever we don't completely understand a grammatical part.,
waarschijnlijk,probably,adverb,-,-,-,"Het gaat waarschijnlijk morgenmiddag hard sneeuwen, dus we moeten onze warme winterkleding alvast klaarleggen.","It is probably going to snow hard tomorrow afternoon, so we have to get our warm winter clothes ready already.",
helaas,unfortunately,adverb,-,-,-,Helaas kan ik niet naar je verjaardagsfeestje komen omdat ik dat specifieke weekend al andere belangrijke plannen heb.,"Unfortunately, I cannot come to your birthday party because I already have other important plans that specific weekend.",
gelukkig,fortunately,adverb,-,-,-,"Gelukkig heb ik mijn verloren sleutels weer teruggevonden, ze lagen onder een stapel kranten op de keukentafel.","Fortunately, I found my lost keys again; they were lying under a pile of newspapers on the kitchen table.",
de man,the man,"noun, de",-,-,-,"De man die daar op de hoek van de straat staat te wachten, werkt al jaren bij hetzelfde bedrijf.",The man who is standing there waiting on the street corner has been working at the same company for years.,
de vrouw,the woman,"noun, de",-,-,-,"De vrouw die naast mij in de bus zat, was een heel interessant boek over de Nederlandse geschiedenis aan het lezen.",The woman who was sitting next to me on the bus was reading a very interesting book about Dutch history.,
het kind,the child,"noun, het",-,-,-,Het kind slaapt momenteel heel rustig in zijn eigen bedje na een lange dag vol met spelen en ontdekken.,The child is currently sleeping very quietly in his own bed after a long day full of playing and discovering.,
het huis,the house,"noun, het",-,-,-,Het huis dat zij onlangs hebben gekocht is erg groot en heeft een prachtige tuin die op het zuiden ligt.,The house they recently bought is very large and has a beautiful garden that faces south.,
de tijd,the time,"noun, de",-,-,-,Ik heb op dit moment helaas geen tijd om met je te praten omdat ik me moet voorbereiden op de les.,At this moment I unfortunately have no time to talk to you because I have to prepare for the lesson.,
het jaar,the year,"noun, het",-,-,-,Dit jaar is ontzettend druk geweest voor mij omdat ik ben begonnen met een nieuwe opleiding en een nieuwe baan.,This year has been incredibly busy for me because I started a new education and a new job.,
goed,good,adjective,-,-,-,"Dat is een heel goed idee voor ons nieuwe project, laten we morgen bespreken hoe we dit kunnen gaan uitvoeren.",That is a very good idea for our new project; let's discuss tomorrow how we can start implementing this.,
slecht,bad,adjective,-,-,-,"Het weer voor komend weekend ziet er erg slecht uit, er wordt namelijk veel regen en harde wind voorspeld.","The weather for next weekend looks very bad; indeed, a lot of rain and strong wind are predicted.",
groot,big,adjective,-,-,-,Dat is een groot probleem waar we direct een oplossing voor moeten vinden voordat het project vertraging oploopt.,That is a big problem for which we must find a solution immediately before the project gets delayed.,
klein,small,adjective,-,-,-,"Wij wonen in een vrij klein huis in het centrum, maar de locatie is ideaal omdat alles op loopafstand is.","We live in a fairly small house in the center, but the location is ideal because everything is within walking distance.",
hebben,to have,"verb, irregular",heb,had,zal hebben,Ik heb momenteel een nieuwe auto nodig omdat mijn oude voertuig helaas niet meer door de keuring kwam.,I currently need a new car because my old vehicle unfortunately did not pass the inspection anymore.,
zijn,to be,"verb, irregular",ben,was,zal zijn,Ik ben vandaag erg moe omdat ik vannacht niet goed heb kunnen slapen door het lawaai op straat.,I am very tired today because I wasn't able to sleep well last night due to the noise on the street.,
gaan,to go,"verb, irregular",ga,ging,zal gaan,Ik ga morgenmiddag direct naar huis na mijn werk om eindelijk eens te beginnen met het opruimen van de zolder.,I am going home directly tomorrow afternoon after my work to finally start cleaning up the attic.,
komen,to come,"verb, irregular",kom,kwam,zal komen,Hij komt morgenochtend waarschijnlijk iets later naar de les omdat hij eerst nog een afspraak bij de tandarts heeft.,He will probably come to class a bit later tomorrow morning because he has an appointment at the dentist first.,
doen,to do,"verb, irregular",doe,deed,zal doen,Wat doe je precies in je vrije tijd wanneer je niet aan het studeren bent voor je Nederlandse taalexamen?,What exactly do you do in your free time when you are not studying for your Dutch language exam?,
zeggen,to say,"verb, irregular",zeg,zei,zal zeggen,"Ze zegt helemaal niets over haar plannen voor het weekend, wat ik een beetje vreemd en geheimzinnig vind.","She says nothing at all about her plans for the weekend, which I find a bit strange and mysterious.",
maken,to make,"verb, regular",maak,maakte,zal maken,Ik maak vanavond een gezonde maaltijd met veel verse groenten voor mijn hele familie en een paar vrienden.,I am making a healthy meal tonight with many fresh vegetables for my whole family and a few friends.,
zien,to see,"verb, irregular",zie,zag,zal zien,Ik zie het grote verschil tussen deze twee opties nu heel duidelijk na jouw uitgebreide en heldere uitleg.,I see the big difference between these two options very clearly now after your detailed and clear explanation.,
weten,to know,"verb, irregular",weet,wist,zal weten,"Ik weet het eerlijk gezegd niet zeker, maar ik kan het voor je opzoeken in het officiële handboek van het bedrijf.","I honestly don't know for sure, but I can look it up for you in the company's official handbook.",
kunnen,can / to be able,modal verb,kan,kon,zal kunnen,Ik kan je morgenochtend misschien even helpen met het invullen van dat ingewikkelde formulier voor de belastingdienst.,I might be able to help you for a moment tomorrow morning with filling in that complicated form for the tax authorities.,
moeten,must,modal verb,moet,moest,zal moeten,Ik moet dit weekend echt heel hard werken om de deadline van maandagochtend te kunnen halen voor mijn baas.,I really must work very hard this weekend to be able to meet Monday morning's deadline for my boss.,
willen,to want,modal verb,wil,wilde,zal willen,Ik wil heel graag een lekkere kop koffie drinken voordat we beginnen met de lange en belangrijke vergadering.,I would very much like to drink a nice cup of coffee before we start the long and important meeting.,
mogen,may,modal verb,mag,mocht,zal mogen,Je mag na de les direct naar huis gaan als je al je opdrachten volledig en correct hebt afgerond.,You may go home directly after class if you have finished all your assignments completely and correctly.,
heel,very,adverb,-,-,-,"Het is vandaag heel erg warm buiten, dus vergeet vooral niet om genoeg water te drinken en in de schaduw te blijven.","It is very hot outside today, so don't forget to drink enough water and stay in the shade.",
ook,also,adverb,-,-,-,"Ik kom morgen ook naar de bijeenkomst, want ik wil graag op de hoogte blijven van de nieuwste ontwikkelingen.","I am also coming to the meeting tomorrow, because I want to stay informed about the latest developments.",
hier,here,adverb,-,-,-,Ik ben momenteel hier in de bibliotheek aan het studeren omdat het thuis helaas te onrustig en luidruchtig is.,I am currently studying here in the library because it is unfortunately too restless and noisy at home.,
nu,now,adverb,-,-,-,Ik ga nu direct naar de winkel om de ingrediënten te kopen die ik nodig heb voor het avondeten van vanavond.,I am going to the store right now to buy the ingredients I need for tonight's dinner.,
vandaag,today,adverb,-,-,-,Vandaag werk ik de hele dag thuis omdat ik een paar belangrijke rapporten moet schrijven zonder afgeleid te worden.,Today I am working from home all day because I have to write a few important reports without being distracted.,
morgen,tomorrow,adverb,-,-,-,"Morgen kom ik hopelijk op tijd aan bij de afspraak, mits er geen onverwachte vertragingen zijn bij de treinen.","Tomorrow I will hopefully arrive at the appointment on time, provided there are no unexpected delays with the trains.",
altijd,always,adverb,-,-,-,Ik ben altijd ruim op tijd voor mijn werk omdat ik een hekel heb aan te laat komen bij afspraken.,I am always well on time for my work because I hate arriving late for appointments.,
vaak,often,adverb,-,-,-,Ik werk tegenwoordig erg vaak thuis omdat dit mij veel tijd bespaart die ik anders in de file zou staan.,These days I often work from home because this saves me a lot of time that I would otherwise spend standing in traffic.,
soms,sometimes,adverb,-,-,-,Soms ben ik na een lange dag op kantoor erg moe en heb ik geen zin meer om nog uitgebreid te koken.,Sometimes after a long day at the office I am very tired and I don't feel like cooking extensively anymore.,
nooit,never,adverb,-,-,-,"Ik ga nooit zonder ontbijt de deur uit, want ik heb de energie echt nodig om de ochtend goed door te komen.","I never go out the door without breakfast, because I really need the energy to get through the morning well.",
