Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
telefoon,phone,"noun, de",-,-,-,"Mijn telefoon is bijna leeg, dus ik moet hem dringend aan de oplader leggen voordat hij helemaal uitvalt.","My phone is almost empty, so I urgently need to put it on the charger before it shuts down completely.",
computer,computer,"noun, de",-,-,-,"Ik werk de hele dag achter de computer, waardoor ik in de avond vaak last krijg van vermoeide ogen.","I work behind the computer all day, which often causes me to suffer from tired eyes in the evening.",
boek,book,"noun, het",-,-,-,Dit boek over de Nederlandse geschiedenis is erg interessant en ik heb er al veel nieuwe dingen uit geleerd.,This book about Dutch history is very interesting and I have already learned many new things from it.,
pen,pen,"noun, de",-,-,-,Mag ik je pen even lenen om dit formulier in te vullen? Ik ben de mijne helaas thuis vergeten.,May I borrow your pen for a moment to fill in this form? I unfortunately forgot mine at home.,
papier,paper,"noun, het",-,-,-,Ik heb een vel papier nodig om een korte notitie te maken voor mijn collega die morgen weer op kantoor is.,I need a sheet of paper to make a short note for my colleague who will be back in the office tomorrow.,
krant,newspaper,"noun, de",-,-,-,Mijn opa leest elke ochtend uitgebreid de krant aan de keukentafel terwijl hij geniet van zijn eerste kop koffie.,My grandfather reads the newspaper extensively every morning at the kitchen table while enjoying his first cup of coffee.,
tas,bag,"noun, de",-,-,-,Ik heb een extra tas meegenomen naar de supermarkt omdat ik van plan ben om veel boodschappen te gaan doen.,I brought an extra bag to the supermarket because I plan to do a lot of grocery shopping.,
kleding,clothing,"noun, de",-,-,-,"Je moet warme kleding aantrekken als je naar buiten gaat, want het waait erg hard en het is behoorlijk koud.","You must put on warm clothing when you go outside, because it is very windy and quite cold.",
schoen,shoe,"noun, de",-,-,-,"Mijn nieuwe schoenen lopen erg lekker, ik heb er vandaag al uren op gewandeld zonder last te krijgen.",My new shoes walk very nicely; I have already walked on them for hours today without any discomfort.,
jas,coat / jacket,"noun, de",-,-,-,"Vergeet je jas niet mee te nemen, want er wordt voor vanmiddag een flinke regenbui voorspeld door het weerbericht.","Don't forget to take your coat, as a heavy rain shower is predicted for this afternoon by the weather report.",
broek,pants / trousers,"noun, de",-,-,-,"Deze blauwe broek past me niet meer zo goed, ik denk dat ik een maat groter nodig heb.",These blue pants don't fit me very well anymore; I think I need a size larger.,
shirt,shirt,"noun, het",-,-,-,Ik draag vandaag een wit shirt van katoen omdat het erg warm is buiten en dat lekker luchtig zit.,I am wearing a white cotton shirt today because it is very warm outside and that feels nice and airy.,
sok,sock,"noun, de",-,-,-,"Ik kan de andere blauwe sok nergens vinden, hij is waarschijnlijk ergens in de wasmachine blijven zitten.",I can't find the other blue sock anywhere; it probably stayed somewhere in the washing machine.,
brood,bread,"noun, het",-,-,-,Ik haal elke ochtend vers brood bij de bakker op de hoek van de straat voor ons ontbijt.,I get fresh bread every morning from the bakery on the street corner for our breakfast.,
water,water,"noun, het",-,-,-,"Drink genoeg water gedurende de dag, vooral als het buiten zo warm is als vandaag om gehydrateerd te blijven.","Drink enough water throughout the day, especially when it's as warm outside as today, to stay hydrated.",
melk,milk,"noun, de",-,-,-,Wil je een beetje koude melk in je koffie of drink je hem liever zwart met alleen wat suiker?,Do you want a bit of cold milk in your coffee or do you prefer to drink it black with just some sugar?,
koffie,coffee,"noun, de",-,-,-,Zonder een sterke kop koffie in de ochtend kan ik mijn dag echt niet goed en energiek beginnen.,"Without a strong cup of coffee in the morning, I really cannot start my day well and energetically.",
thee,tea,"noun, de",-,-,-,Ik drink in de avond graag een kop warme thee met honing om een beetje te ontspannen voor het slapengaan.,In the evening I like to drink a cup of warm tea with honey to relax a bit before going to bed.,
sap,juice,"noun, het",-,-,-,Vers geperst sinaasappelsap bevat veel vitaminen en is een heerlijke en gezonde toevoeging aan je dagelijkse ontbijt.,Freshly squeezed orange juice contains many vitamins and is a delicious and healthy addition to your daily breakfast.,
bier,beer,"noun, het",-,-,-,Na het werk drinken we soms gezellig een biertje met collega's in de kroeg om de week af te sluiten.,After work we sometimes enjoy a beer with colleagues in the pub to close the week.,
wijn,wine,"noun, de",-,-,-,"Bij dit heerlijke diner past een goede rode wijn erg goed, zal ik een fles voor ons openmaken?",A good red wine goes very well with this delicious dinner; shall I open a bottle for us?,
vlees,meat,"noun, het",-,-,-,Ik eet tegenwoordig steeds minder vlees omdat ik denk dat een vegetarisch dieet beter is voor het milieu.,These days I am eating less and less meat because I think a vegetarian diet is better for the environment.,
vis,fish,"noun, de",-,-,-,Verse vis uit de Noordzee is erg gezond en we proberen het minstens één keer per week te eten.,Fresh fish from the North Sea is very healthy and we try to eat it at least once a week.,
groente,vegetable,"noun, de",-,-,-,Het is belangrijk om elke dag voldoende verse groente te eten om alle nodige voedingsstoffen binnen te krijgen.,It is important to eat enough fresh vegetables every day to get all the necessary nutrients.,
fruit,fruit,"noun, het",-,-,-,Ik neem elke dag een stuk fruit mee naar mijn werk als gezond tussendoortje voor in de middag.,I take a piece of fruit to work every day as a healthy snack for the afternoon.,
appel,apple,"noun, de",-,-,-,"Een appel per dag houdt de dokter weg, zoals het bekende gezegde luidt over gezonde voeding.","An apple a day keeps the doctor away, as the well-known saying goes about healthy nutrition.",
banaan,banana,"noun, de",-,-,-,"Een banaan geeft je snel weer nieuwe energie, wat erg handig is vlak voordat je gaat sporten.","A banana quickly gives you new energy again, which is very handy just before you start exercising.",
suiker,sugar,"noun, de",-,-,-,Ik probeer geen suiker meer in mijn thee te doen omdat ik gezonder wil gaan leven vanaf nu.,I'm trying not to put sugar in my tea anymore because I want to start living healthier from now on.,
zout,salt,"noun, het",-,-,-,"Doe niet te veel zout op het eten, want dat is niet goed voor je bloeddruk op de lange termijn.","Don't put too much salt on the food, because that is not good for your blood pressure in the long run.",
peper,pepper,"noun, de",-,-,-,Voeg een klein beetje peper toe aan de soep om hem wat extra smaak en pit te geven.,Add a little bit of pepper to the soup to give it some extra flavor and spice.,
ontbijt,breakfast,"noun, het",-,-,-,"Het ontbijt is de belangrijkste maaltijd van de dag, dus neem rustig de tijd om goed te eten.","Breakfast is the most important meal of the day, so take your time to eat well.",
lunch,lunch,"noun, de",-,-,-,Zullen we morgenmiddag ergens in de stad gaan lunchen om bij te praten over de vakantieplannen?,Shall we have lunch somewhere in the city tomorrow afternoon to catch up on the vacation plans?,
avondeten,dinner,"noun, het",-,-,-,Wat zullen we vanavond klaarmaken voor het avondeten? Ik heb zin in iets met veel verse groenten.,What shall we prepare for dinner tonight? I feel like something with lots of fresh vegetables.,
honger,hunger,"noun, de",-,-,-,"Ik heb enorme honger gekregen na die lange fietstocht, zullen we direct ergens een hapje gaan eten?",I've gotten enormously hungry after that long bike ride; shall we go eat something somewhere right away?,
dorst,thirst,"noun, de",-,-,-,Na het hardlopen in de zon had ik zo'n dorst dat ik in één keer een hele fles water leegdronk.,"After running in the sun, I was so thirsty that I drank an entire bottle of water in one go.",
lekker,tasty / nice,adjective,-,-,-,"Dit eten smaakt echt heel erg lekker, complimenten aan de kok voor het bereiden van deze heerlijke maaltijd.",This food tastes really delicious; compliments to the chef for preparing this wonderful meal.,
warm,warm,adjective,-,-,-,"Het is vandaag erg warm buiten, dus ik ga vanmiddag lekker een ijsje eten in het park.","It is very warm outside today, so I'm going to have a nice ice cream in the park this afternoon.",
koud,cold,adjective,-,-,-,"Het water in de zee is nog veel te koud om te gaan zwemmen, we moeten wachten tot de zomer.",The water in the sea is still far too cold to go swimming; we have to wait until the summer.,
heet,hot,adjective,-,-,-,"Pas op, de koffie in de beker is nog erg heet, laat hem eerst even een beetje afkoelen.","Careful, the coffee in the cup is still very hot; let it cool down a bit first.",
vers,fresh,adjective,-,-,-,"Deze groenten zijn heel erg vers, ik heb ze vanochtend zelf geplukt in de moestuin achter het huis.",These vegetables are very fresh; I picked them myself this morning in the vegetable garden behind the house.,
gezond,healthy,adjective,-,-,-,Het is erg gezond om elke dag minstens een half uur te wandelen in de frisse buitenlucht.,It is very healthy to walk for at least half an hour every day in the fresh outdoor air.,
ziek,sick,adjective,-,-,-,"Ik voel me helaas een beetje ziek vandaag, dus ik blijf liever thuis in bed om goed uit te rusten.","I feel a bit sick today, unfortunately, so I prefer to stay home in bed to rest well.",
ziekenhuis,hospital,"noun, het",-,-,-,Hij moet morgen naar het ziekenhuis voor een kleine operatie aan zijn knie die al een tijdje gepland stond.,He has to go to the hospital tomorrow for a small surgery on his knee that had been planned for a while.,
arts,doctor,"noun, de",-,-,-,De arts vertelde me dat ik meer rust moet nemen en gezonder moet gaan eten voor mijn herstel.,The doctor told me that I need to take more rest and start eating healthier for my recovery.,
medicijn,medicine,"noun, het",-,-,-,"Vergeet niet om je medicijnen op tijd in te nemen, precies zoals de dokter het je heeft voorgeschreven.","Don't forget to take your medicine on time, exactly as the doctor prescribed it to you.",
pijn,pain,"noun, de",-,-,-,"Ik heb al een paar dagen een vervelende pijn in mijn schouder, ik denk dat ik even naar de fysio ga.",I've had a bothersome pain in my shoulder for a few days; I think I'll go to the physio for a bit.,
hulp,help,"noun, de",-,-,-,"Bedankt voor al je hulp bij de voorbereiding van het feestje, zonder jou was het nooit gelukt.",Thanks for all your help with the preparation of the party; without you it would never have succeeded.,
politie,police,"noun, de",-,-,-,Bel direct de politie als je getuige bent van een ongeluk of als er sprake is van een onveilige situatie.,Call the police immediately if you witness an accident or if there is an unsafe situation.,
gevaar,danger,"noun, het",-,-,-,"Pas goed op, want er dreigt gevaar door de gladde wegen na de hevige sneeuwval van afgelopen nacht.","Take good care, because there is danger due to the slippery roads after the heavy snowfall of last night.",
veilig,safe,adjective,-,-,-,"In deze buurt voel ik me erg veilig, zelfs als ik 's avonds laat alleen over straat naar huis loop.","In this neighborhood I feel very safe, even when I walk home alone on the street late at night.",
ongeluk,accident,"noun, het",-,-,-,"Er is vanochtend een ernstig ongeluk gebeurd op de snelweg, waardoor er nu een lange file staat richting de stad.","A serious accident happened on the highway this morning, which has caused a long traffic jam towards the city.",
stop,stop,"noun, de / verb",-,-,-,De bus maakt een korte stop bij het station zodat er nieuwe passagiers kunnen instappen voor de verdere reis.,The bus makes a short stop at the station so that new passengers can board for the further journey.,
